ID	name	rank1	rank2	metric1	metric2
c93413_g1	c93413_g1	134	16117	0.605252943	-1.057826703
c89822_g1	c89822_g1	135	10384	0.604485437	-0.051588177
c95453_g4	c95453_g4	136	14185	0.602771052	-0.195305246
c88897_g2	c88897_g2	137	15846	0.599161622	-0.553188295
c94720_g8	c94720_g8	138	16145	0.597761611	-1.252042818
c66907_g1	c66907_g1	139	63	0.59654612	1.023925875
c93094_g7	c93094_g7	140	894	0.595193971	0.265627869
c88692_g2	c88692_g2	141	329	0.594568377	0.449418539
c92828_g2	c92828_g2	142	15429	0.592551977	-0.356923008
c95285_g2	c95285_g2	143	16096	0.591964221	-0.995775716
c96559_g2	c96559_g2	144	15667	0.587643743	-0.440795513
c82164_g1	c82164_g1	145	7749	0.586812247	0.005275073
c89300_g4	c89300_g4	146	774	0.584992475	0.289082538
c86322_g4	c86322_g4	147	776	0.584725593	0.288059319
c96061_g1	c96061_g1	148	15458	0.583813128	-0.36616881
c88910_g5	c88910_g5	149	8624	0.583444933	-0.013026321
c89129_g1	c89129_g1	150	16064	0.583149126	-0.891142715
c88663_g2	c88663_g2	151	3330	0.582056273	0.105490589
c87197_g3	c87197_g3	152	7307	0.582026899	0.01371893
c89933_g2	c89933_g2	153	16076	0.581863248	-0.92909124
c94143_g6	c94143_g6	154	16327	0.575235304	-8.645236782
c91656_g3	c91656_g3	155	14136	0.573994065	-0.191863177
c94965_g2	c94965_g2	156	1676	0.572348489	0.180282199
c87014_g2	c87014_g2	157	16146	0.571397157	-1.257219928
c88424_g11	c88424_g11	158	9863	0.571096045	-0.040011548
c77410_g2	c77410_g2	159	725	0.569202819	0.302422556
c88552_g1	c88552_g1	160	15597	0.564988207	-0.41180618
c88334_g12	c88334_g12	161	2076	0.561820907	0.154973352
c81220_g4	c81220_g4	162	399	0.561038005	0.40530208
c83020_g1	c83020_g1	163	11503	0.561027601	-0.079435887
c97160_g2	c97160_g2	164	13772	0.560788347	-0.166896326
c92972_g2	c92972_g2	165	10804	0.557349795	-0.0621262
c94524_g6	c94524_g6	166	14865	0.557106941	-0.256247166
c69677_g1	c69677_g1	167	2457	0.556235083	0.13774293
c89656_g3	c89656_g3	168	1143	0.55396055	0.230903082
c81430_g4	c81430_g4	169	1161	0.54830724	0.228331198
c92149_g3	c92149_g3	170	94	0.547763961	0.845929102
c96931_g5	c96931_g5	171	15789	0.547755866	-0.513703517
c87036_g5	c87036_g5	172	15615	0.547737336	-0.418946643
c108839_g1	c108839_g1	173	15519	0.546151178	-0.38288537
c95890_g1	c95890_g1	174	127	0.545775479	0.712464542
c86401_g4	c86401_g4	175	5922	0.545657489	0.04139612
c82507_g2	c82507_g2	176	15935	0.543719363	-0.635052376
c90656_g7	c90656_g7	177	15714	0.539514368	-0.467818688
c97213_g4	c97213_g4	178	16006	0.539270466	-0.731190753
c84232_g1	c84232_g1	179	2071	0.534277354	0.155528887
c85079_g2	c85079_g2	180	1642	0.530080856	0.182835589
c94935_g6	c94935_g6	181	14378	0.527263549	-0.210059694
c95041_g13	c95041_g13	182	16194	0.52633431	-1.595655108
c85606_g10	c85606_g10	183	4286	0.525796387	0.07750702
c90691_g6	c90691_g6	184	677	0.523294613	0.311460481
c93430_g2	c93430_g2	185	554	0.522355846	0.340450126
c83280_g2	c83280_g2	186	219	0.521992455	0.560254304
c88344_g2	c88344_g2	187	16210	0.521662375	-1.764818257
c90545_g2	c90545_g2	188	2677	0.519693176	0.128308745
c88004_g2	c88004_g2	189	6185	0.518851581	0.035822427
c82903_g2	c82903_g2	190	1815	0.517997631	0.170973184
c82856_g1	c82856_g1	191	1224	0.515806885	0.221370253
c79739_g1	c79739_g1	192	141	0.513859778	0.682161007
c95818_g3	c95818_g3	193	90	0.512524459	0.870763583
c97570_g1	c97570_g1	194	14573	0.507118414	-0.228345264
c94831_g4	c94831_g4	195	14726	0.506346765	-0.243297433
c93112_g2	c93112_g2	196	308	0.504443951	0.46224876
c91689_g3	c91689_g3	197	14507	0.503933745	-0.222501212
c97460_g1	c97460_g1	198	208	0.503448763	0.575588399
c84429_g1	c84429_g1	199	234	0.503428908	0.544741722
c90320_g7	c90320_g7	200	12450	0.502644205	-0.108471586
c91902_g4	c91902_g4	201	12767	0.501121816	-0.11924583
c91922_g11	c91922_g11	202	8003	0.500627664	0.000177032
c84706_g1	c84706_g1	203	12439	0.500005969	-0.108141715
c70024_g1	c70024_g1	204	12284	0.499488136	-0.102831517
c86576_g1	c86576_g1	205	11002	0.498068273	-0.066554052
c96630_g2	c96630_g2	206	293	0.49696195	0.473485439
c86761_g1	c86761_g1	207	5103	0.496356442	0.058235498
c84476_g2	c84476_g2	208	15793	0.495672694	-0.516203572
c91358_g5	c91358_g5	209	15302	0.494537984	-0.332123576
c93985_g3	c93985_g3	210	16273	0.494131751	-2.507758326
c80349_g1	c80349_g1	211	16091	0.493131291	-0.970576242
c93117_g1	c93117_g1	212	11099	0.492136154	-0.068888149
c89735_g3	c89735_g3	213	16149	0.489137467	-1.269466259
c89692_g4	c89692_g4	214	154	0.488666884	0.663323324
c90830_g2	c90830_g2	215	480	0.486289468	0.369065835
c88658_g6	c88658_g6	216	1534	0.48577561	0.19096909
c94692_g3	c94692_g3	217	10242	0.48465913	-0.048681966
c97565_g2	c97565_g2	218	16188	0.48386569	-1.547061079
c86192_g1	c86192_g1	219	659	0.483223574	0.315526074
c92276_g9	c92276_g9	220	12277	0.48119146	-0.102738138
c88971_g2	c88971_g2	221	2891	0.480036985	0.120399347
c90344_g5	c90344_g5	222	231	0.479096168	0.549559036
c94140_g2	c94140_g2	223	15361	0.478637849	-0.341512647
c97262_g4	c97262_g4	224	15627	0.478515854	-0.425118062
c94965_g1	c94965_g1	225	3736	0.474853295	0.092418245
c89906_g5	c89906_g5	226	3243	0.474436049	0.108447566
c89597_g1	c89597_g1	227	139	0.472890701	0.685650835
c90995_g2	c90995_g2	228	7260	0.470144609	0.014599783
c96831_g9	c96831_g9	229	2237	0.470060515	0.146818027
c94121_g6	c94121_g6	230	16308	0.468998607	-3.824612501
c96963_g1	c96963_g1	231	15508	0.468590247	-0.378999683
c78480_g1	c78480_g1	232	1271	0.468235198	0.216034444
c89734_g2	c89734_g2	233	3182	0.468171126	0.110311679
c83945_g1	c83945_g1	234	15642	0.468021868	-0.430612878
c95936_g6	c95936_g6	235	203	0.467983087	0.589015559
c84703_g2	c84703_g2	236	3694	0.465623431	0.093699059
c95145_g3	c95145_g3	237	14355	0.464936012	-0.207422452
c95701_g3	c95701_g3	238	1129	0.464635214	0.231772536
c97024_g5	c97024_g5	239	8609	0.46397133	-0.012643816
c90332_g4	c90332_g4	240	335	0.463811832	0.448170176
c88161_g2	c88161_g2	241	13489	0.46371285	-0.150318418
c90951_g12	c90951_g12	242	396	0.460169149	0.405985932
c93698_g1	c93698_g1	243	16269	0.459980442	-2.459921796
c93058_g7	c93058_g7	244	14017	0.459488987	-0.182200942
c83850_g4	c83850_g4	245	14451	0.458487276	-0.216042143
c84559_g1	c84559_g1	246	267	0.457991485	0.492572311
c90267_g1	c90267_g1	247	5755	0.457900155	0.044782071
c89163_g1	c89163_g1	248	10735	0.457625271	-0.060331691
c91879_g3	c91879_g3	249	1761	0.456707601	0.174321179
c84119_g1	c84119_g1	250	1380	0.45552245	0.205301082
c88306_g4	c88306_g4	251	1611	0.450371702	0.185170644
c97290_g6	c97290_g6	252	170	0.449061086	0.638272358
c92298_g3	c92298_g3	253	543	0.44867289	0.342313627
c84392_g1	c84392_g1	254	15728	0.448118615	-0.475354091
c88493_g8	c88493_g8	255	2491	0.448089913	0.136380685
c90844_g4	c90844_g4	256	516	0.446145767	0.355663549
c83636_g5	c83636_g5	257	394	0.4450872	0.406540124
c94033_g4	c94033_g4	258	15518	0.444804375	-0.382349519
c95299_g2	c95299_g2	259	3647	0.444185877	0.09513635
c88616_g2	c88616_g2	260	414	0.443683323	0.395349519
c95153_g3	c95153_g3	261	14906	0.44278867	-0.26090367
c94823_g1	c94823_g1	262	492	0.440483886	0.366053038
c72950_g1	c72950_g1	263	195	0.439447306	0.597773043
c84117_g4	c84117_g4	264	175	0.43888579	0.631221507
c95968_g3	c95968_g3	265	1020	0.438565272	0.246913052
c91990_g10	c91990_g10	266	16159	0.437785793	-1.357930527
c81537_g1	c81537_g1	267	15931	0.436395486	-0.630776084
c86037_g6	c86037_g6	268	3989	0.434579984	0.08544631
c97462_g1	c97462_g1	269	5236	0.433960998	0.055413934
c77011_g1	c77011_g1	270	8097	0.433387416	-0.001909774
c90049_g2	c90049_g2	271	438	0.433079137	0.387123713
c84607_g9	c84607_g9	272	10548	0.433004318	-0.055408739
c93636_g2	c93636_g2	273	328	0.432989708	0.449505078
c95468_g4	c95468_g4	274	686	0.432791158	0.309851086
c82530_g2	c82530_g2	275	15406	0.43126886	-0.350587595
c89920_g1	c89920_g1	276	336	0.430674859	0.447263629
c86530_g2	c86530_g2	277	3072	0.429491787	0.114170747
c89927_g3	c89927_g3	278	14920	0.429111955	-0.262575291
c81220_g1	c81220_g1	279	962	0.429048351	0.256477913
c95650_g4	c95650_g4	280	13117	0.427986297	-0.133058985
c92791_g6	c92791_g6	281	1041	0.427104922	0.244447695
c95731_g3	c95731_g3	282	11348	0.427029617	-0.075033583
c87733_g6	c87733_g6	283	255	0.426875726	0.506487854
c86884_g9	c86884_g9	284	1325	0.425789898	0.210771388
c92485_g3	c92485_g3	285	14319	0.42446591	-0.204944018
c92787_g4	c92787_g4	286	9891	0.42351963	-0.040481273
c81193_g1	c81193_g1	287	16323	0.423175589	-6.214740884
c92959_g5	c92959_g5	288	1627	0.422639073	0.184213678
c91108_g6	c91108_g6	289	15817	0.422402946	-0.527384349
c90501_g1	c90501_g1	290	515	0.421573406	0.35582778
c90613_g2	c90613_g2	291	862	0.421023961	0.270604683
c95908_g5	c95908_g5	292	15713	0.420061303	-0.467632864
c90167_g1	c90167_g1	293	11799	0.419174747	-0.088163276
c82592_g7	c82592_g7	294	8495	0.418463549	-0.009944186
c88276_g4	c88276_g4	295	15666	0.415892883	-0.440764002
c91779_g8	c91779_g8	296	238	0.415313965	0.537361237
c84680_g9	c84680_g9	297	280	0.414581497	0.48075785
c92933_g2	c92933_g2	298	610	0.41430098	0.326830061
c78260_g1	c78260_g1	299	1939	0.413385499	0.163764432
c94649_g4	c94649_g4	300	227	0.413102263	0.555757791
c97409_g2	c97409_g2	301	15660	0.412689632	-0.435848036
c97054_g8	c97054_g8	302	5481	0.412551757	0.05025453
c86198_g1	c86198_g1	303	15992	0.41234215	-0.713817193
c89597_g6	c89597_g6	304	269	0.412133915	0.491369584
c91950_g3	c91950_g3	305	671	0.411187223	0.312010346
