"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"c97170_g1",7.81661072975688,9.09098610499924,7.71924950600878,9.08226162343796,7.91725690874347,8.47771918888808,7.69471463148568,8.76804427569138,8.38559642491889,8.23637590035827,7.69769355042055,7.76971983697245,8.39383165577769,8.31313686656801,7.79384895886425,8.48983300164373,7.44664941612563,8.31104348692521,8.48480875322339,7.79316744930456,7.82487873987919,8.24232241058133,7.61287628585775,8.80159348062009,7.67399223163136,8.24986093903997,8.78368692752447,9.17185493997841,7.60613738270366,8.4989431459737,7.64757199253019,8.45574920330516,7.57986682704928,7.64527161646765,7.91494739196644,7.61694910235616,8.50996920815236
"c94826_g3",8.57817548787034,8.8547566126184,8.62264329068383,9.06368101711035,8.66506893666349,8.83470339090295,8.52377386444298,8.97197420420015,8.6995508391896,8.27440676577308,8.46330138395614,8.67263232940967,8.84747412861106,8.83921378412174,8.73909541251971,8.77012146913035,8.52515209133746,8.91708022560574,8.88437333914249,8.85677541110485,8.59455355005182,9.1704223132731,8.60394167553685,8.96335396530394,8.65857499746536,8.42635047006628,8.93962129214887,9.13815557263851,8.76875511725762,8.803589985021,8.56996132989043,9.00610157359254,8.66031989807654,8.89382033147001,8.6202054030807,8.78950531985877,8.92210049186708
"c93470_g1",8.16632825136931,8.59512952110354,8.30824322666113,8.56821881436852,8.42811855276365,8.41573279252529,8.38617110236374,8.39001657780519,8.38559642491889,8.30679156820259,8.33654481693548,8.26172469810725,8.54899696972333,8.55538758677706,8.25510702493668,8.55908148769475,8.18265807733164,8.51298528402405,8.35937380072878,8.30740488387736,8.17036724446455,8.55783944187194,8.41433761430914,8.51219621841117,8.32258825542095,8.21392435905715,8.43443270287377,8.43581569202256,8.32250419417447,8.33757066867151,8.20056643158355,8.50720881283167,8.43449175019188,8.55476252375944,8.18754628027145,8.32633288393227,8.33559337489361
"c95039_g4",7.7105858471365,7.37092578601539,7.54937818661935,7.60460180589939,7.94966850684901,7.00761304073382,7.68783149554387,7.4511386343324,7.50899485805219,7.01668563741185,7.58808309689648,7.58787897942193,7.45811321388515,7.50069006446913,7.73635810361175,7.25845330770003,7.88046186892936,7.41573071745239,7.04857829857145,7.29329288817482,7.5091865039145,7.55323426481717,7.71461681902237,7.17273713861103,7.66552136391489,7.77438508499591,7.50665367806173,7.39205814036143,7.82741925152798,7.17543974836323,7.73864654268341,7.40899311051771,7.85425411981962,7.33841696067013,7.79075058029712,7.60572820098665,7.94120813430854
"c95965_g4",7.02849682226041,7.5843383606404,7.18073037275212,7.4971290798941,7.33961323914729,7.52171642270948,7.16141888016385,7.5239146517036,7.29008738874128,7.53323161231541,7.1534422268549,7.20723099737646,7.54127632010791,7.43016735880664,7.33377343456983,7.76874584036559,7.33091729632201,7.72638444684839,7.35240931034675,7.39501852954904,7.16499180653059,7.49964638596148,7.08518279751027,7.64560748736437,7.22978352774022,7.40719594501548,7.44211653825348,7.80521783244881,7.33686784602445,7.614751258547,7.32466386497851,7.44815278733488,7.36644219457505,7.51101661604303,7.31233850676277,7.10618969023108,7.16232577208126
"c86985_g6",9.63803945588637,9.90775022279555,9.29345141318544,9.94006897561815,9.30673147568494,9.95870230949877,9.70786373041278,9.90897204285886,9.77281742188158,9.79665790522233,9.31786783422729,9.61540955754701,10.0035121919534,10.0610935531966,9.28071827712465,10.1528160997364,9.62877808066924,10.0006530060695,9.9762510166889,9.84829288528772,9.4704320047535,9.90879639665963,9.72938127175888,10.0874818371715,9.55725202224436,9.72460011569564,9.87210152230744,10.0105685642744,9.34986284125381,9.80943012209136,9.19275919991186,9.6804751292383,9.27056517125409,9.97670204939114,9.74220030170079,10.0350814142841,9.07154409086661
"c93711_g2",7.47256448209868,7.68579870697534,7.43481290040763,7.5445132552535,7.39372328319607,7.66675202199533,7.50832690683288,7.2420850321807,7.35473473331571,7.58431631302313,7.54612770398052,7.40905176493289,7.98700265132136,7.76722187689359,7.41635094662809,7.84391887784213,7.53815225428508,7.55324616847549,7.6913915599751,7.72415984926977,7.37383169608878,7.62077222111658,7.42263755308641,7.62159314281983,7.529983381159,7.41930709304653,7.97315960197668,7.8483982554539,7.37996261779685,7.76043339332718,7.48139614563449,7.59712478696697,7.54573360794181,7.62401095654229,7.29808437116589,7.5358606596365,7.20245743603176
"c91077_g1",8.5661914468417,8.97628689384956,8.49797992063638,8.84095081479209,8.65397681345785,8.79936395216066,8.43616176698911,8.69499377754367,8.79833329722113,8.65783487059591,8.49514793872398,8.46970268176787,8.66673145967504,8.67312116024752,8.48696820449855,8.72035771286489,8.47390603144258,8.75256992488334,8.75633803108038,8.65560704023512,8.58529237294011,8.75768925699902,8.49722839199719,8.83301949717166,8.69287139054983,8.69641786587635,8.83045999030527,8.86516844338225,8.52758174007664,8.803589985021,8.56713052006088,8.80832867870788,8.72902195689908,8.64620423129819,8.61549266196524,8.48450830206498,8.75098763754002
"c90220_g1",9.70153595374371,9.35339483237624,9.59668795648072,9.35019138036191,9.64857215253893,9.30377297447113,9.51271813279673,9.40471396134678,9.65211664479846,9.48531820022586,9.53775200369057,9.52623318830599,9.44583125757463,9.37160416393392,9.58934668448554,9.44578555108515,9.53766303488746,9.17071166591401,9.39455322012016,9.40231735307541,9.61341052673119,9.39939329630199,9.47881088580146,9.44599840392913,9.63403384873118,9.57104522685584,9.32559177712466,9.41574756196728,9.57712294862897,9.28956398957961,9.49999181115829,9.29169710131781,9.55669562152253,9.48402141905933,9.52919167365359,9.39114947730458,9.48681165765817
"c88424_g11",7.3577653828696,7.03008915818256,7.21654255164657,6.97206970004599,7.30564002723899,6.98787327978578,7.26071319162978,7.08930783880124,7.34425704502742,7.10354150506881,7.25060550655946,7.32772214470957,6.97969842535784,7.11145148411981,7.4049663475421,7.10351867947501,7.26744330698957,6.97981331146531,7.23891607276063,7.1220483215935,7.26577577643921,7.16513493767161,7.26587626515895,7.06421912509997,7.39669476421268,7.44310336933132,7.13047463467216,7.0657171286775,7.38835967630858,6.88697823610881,7.40980452167701,7.00742196582289,7.34557712003012,7.24960986489276,7.36062410408468,7.27723644159064,6.96163324811321
